time,是否有效,x,y
1690472980566,1,-298.21,172.23
1690472980566,1,-279.6,164.83
1690472980566,1,-207.71,135.71
1690472980566,1,-197.03,131.39
1690472980566,1,-187.36,127.55
1690472980566,1,-177.77,123.55
1690472980566,1,-168.77,119.74
1690472980566,1,-160.92,116.59
1690472980566,1,-153.73,113.68
1690472980566,1,-147.14,111.09
1690472980566,1,-140.58,108.4
1690472980566,1,-134.78,106.09
1690472980566,1,-129.23,103.91
1690472980566,1,-124.71,102.39
1690472980566,1,-119.66,100.38
1690472980566,1,-115.23,98.71
1690472980566,1,-111,97.14
1690472980566,1,-107.36,95.96
1690472980566,1,-103.56,94.59
1690472980566,1,-100.2,93.53
1690472980566,1,-97.12,92.62
1690472980566,1,-94.07,91.66
1690472980566,1,-92.69,92.36
1690472980566,1,-89.66,91.35
1690472980566,1,-88.25,91.9
1690472980566,1,-85.51,91.09
1690472980566,1,-82.85,90.3
1690472980566,1,-80.63,89.91
1690472980566,1,-78.86,89.95
1690472980566,1,-76.54,89.43
1690472980566,1,-74.09,88.67
1690472980566,1,-72.02,88.28
1690472980566,1,-70.69,88.75
1690472980566,1,-70.29,90.46
1690472980566,1,-70.52,93.04
1690472980566,1,-69.07,93.51
1690472980566,1,-67.74,94.09
1690472980566,1,-65.69,93.75
1690472980566,1,-65.98,96.7
1690472980566,1,-65.42,98.53
1690472980566,1,-64.48,99.87
1690472980566,1,-64.06,102.15
1690472980566,1,-63.78,104.76
1690472980566,1,-74.73,126.42
1690472980566,1,-73.46,128.21
1690472980566,1,-72.46,130.48
1690472980566,1,-71.49,133.03
1690472980566,1,-105.63,203.18
1690472980566,1,-101.38,201.97
1690472980566,1,-97.48,201.2
1690472980566,1,-93.7,200.78
1690472980566,1,-89.56,199.32
1690472980566,1,-85.89,198.99
1690472980566,1,-81.8,197.55
1690472980566,1,-78.14,196.97
1690472980566,1,-74.49,196.39
1690472980566,1,-70.47,194.88
1690472980566,1,-67.11,195.06
1690472980566,1,-63.41,193.9
1690472980566,1,-59.75,193.09
1690472980566,1,-56.09,191.94
1690472980566,1,-52.61,191.38
1690472980566,1,-49.07,190.57
1690472980566,1,-45.46,189.2
1690472980566,1,-42.1,188.89
1690472980566,1,-38.69,188.34
1690472980566,1,-35.2,186.99
1690472980566,1,-31.79,186.06
1690472980566,1,-28.53,185.61
1690472980566,1,-25.29,185.64
1690472980566,1,-22.43,188.45
1690472980566,1,-19.02,186.96
1690472980566,1,-15.32,181.79
1690472980566,1,-11.91,177.4
1690472980566,1,-8.74,175.51
1690472980566,1,-5.67,175.84
1690472980566,1,-2.66,175.41
1690472980566,1,0.28,174.91
1690472980566,1,3.35,174.41
1690472980566,1,6.28,172.92
1690472980566,1,9.27,172.5
1690472980566,1,12.21,172.38
1690472980566,1,15.11,170.9
1690472980566,1,18.03,170.48
1690472980566,1,20.81,169.47
1690472980566,1,23.8,169.65
1690472980566,1,26.57,168.78
1690472980566,1,29.38,168
1690472980566,1,32.21,167.72
1690472980566,1,35.11,167.6
1690472980566,1,38.1,167.93
1690472980566,1,40.81,167.27
1690472980566,1,43.8,167.37
1690472980566,1,46.59,167.09
1690472980566,1,49.09,165.75
1690472980566,1,52.05,166.14
1690472980566,1,54.63,165.17
1690472980566,1,57.6,165.48
1690472980566,1,59.97,164.05
1690472980566,1,62.8,163.98
1690472980566,1,65.24,162.85
1690472980566,1,68.08,162.85
1690472980566,1,70.68,162.16
1690472980566,1,73.09,161.32
1690472980566,1,75.79,161.01
1690472980566,1,76.24,156.1
1690472980566,1,80.53,159.17
1690472980566,1,84,160.36
1690472980566,1,83.91,154.92
1690472980566,1,84.09,150.35
1690472980566,1,85.99,148.92
1690472980566,1,87.22,146.5
1690472980566,1,88.24,143.79
1690472980566,1,89.27,141.3
1690472980566,1,90.38,139.02
1690472980566,1,91.49,136.82
1690472980566,1,92.27,134.32
1690472980566,1,92.95,131.68
1690472980566,1,94.73,130.69
1690472980566,1,95.23,128.04
1690472980566,1,96.08,125.97
